Date,Open,High,Low,Close,Adj Close,Volume
2018-10-08,1.004100,1.007680,1.001900,1.002210,1.002210,382900
2018-10-09,1.004270,1.008330,1.000030,1.006860,1.006860,108803
2018-10-10,1.004940,1.019080,1.003970,1.009620,1.009620,711783
2018-10-11,1.009940,1.031230,1.001730,1.009780,1.009780,4177290
2018-10-12,1.008610,1.018710,1.001140,1.012720,1.012720,1322240
2018-10-13,1.014450,1.020290,1.003550,1.007430,1.007430,698507
2018-10-14,1.007260,1.022510,1.004920,1.016310,1.016310,982750
2018-10-15,1.016900,1.113730,0.998372,1.026800,1.026800,10660400
2018-10-16,1.027230,1.035510,1.018990,1.021430,1.021430,2124080
2018-10-17,1.024040,1.026530,1.010580,1.012190,1.012190,1102740
2018-10-18,1.014660,1.020620,1.009230,1.014890,1.014890,1182450
2018-10-19,1.014750,1.016430,1.006310,1.006980,1.006980,715078
2018-10-20,1.007490,1.013630,1.002550,1.006430,1.006430,299871
2018-10-21,1.006820,1.019610,1.003200,1.012900,1.012900,509276
2018-10-22,1.012310,1.024800,1.003290,1.009300,1.009300,1211160
2018-10-23,1.009230,1.017960,1.007470,1.010590,1.010590,1503840
2018-10-24,1.009380,1.012090,1.002380,1.010020,1.010020,923940
2018-10-25,1.010460,1.013690,1.001900,1.007970,1.007970,1365520
2018-10-26,1.006110,1.015520,1.003520,1.011630,1.011630,950623
2018-10-27,1.012080,1.014890,1.001070,1.008240,1.008240,712963
2018-10-28,1.006620,1.014960,1.002730,1.011070,1.011070,282707
2018-10-29,1.010830,1.019000,1.005530,1.008370,1.008370,1983680
2018-10-30,1.006430,1.010860,1.003010,1.004680,1.004680,715882
2018-10-31,1.006730,1.008730,0.994033,0.996386,0.996386,1279360
2018-11-01,0.996413,1.018400,0.991167,0.992502,0.992502,1800480
2018-11-02,0.992897,1.008010,0.988213,0.999969,0.999969,2042390
2018-11-03,1.000280,1.008300,0.997810,1.003790,1.003790,1402480
2018-11-04,1.004010,1.008090,0.982746,0.997669,0.997669,2144200
2018-11-05,0.996997,1.007450,0.996702,0.998748,0.998748,1287400
