amount0In,amount0Out,amount1In,amount1Out,amountUSD,id,pair,sender,timestamp,to
0,3081.28989,3096.378297,0,3089.341968537403214175093133422165,0xd7252a098ad22774dd2bdf47aa19514eeebb667b9715277156c35b09b3f2e16b-1,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618680483,0xac082b64c23ead5228fb8de00a2558f1b1af6c50
0,22.659664,22.688006,0,22.68937630938259506086228420380363,0xd9d8400e57481adeefa9893d93ddbd28b6106ab1836c0fa6b78650ae7fa687e7-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618637181,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc
0,4121.640816,4128.808245,0,4126.762482919393109731058890600961,0xdbdf3ddc28ed2c1446ccaf033e69c584c67f8fdfebe2b0895754e77d112eebb7-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0xb2b551ced82fab96d60be210620c26cf83fcd727,1618694336,0xc6136ee4c911ed6b1cccaeee9065854435c0b5e0
20141.810576,0,0,20114.710869,20131.42084994708891574495262645873,0xdc20d87ec154005f267c7848564c10fab7d6687247fd76b7e04e1676d8c7243f-1,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618620356,0x3ad525ab2b180f5321e5b5d3be1e4d4db75b17e9
2010.935932,0,0,2000,2005.658621018162809058440994956473,0xdc37b7fe36c2a11e281cef4649940334f2b8c5505a84981630e3d79bd1ab8e6f-1,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618642384,0xe4820a0d3cd2349016b2c7a959b036be9cba1097
1404.873111,0,0,1395.637466,1400.756916602906568283323422418346,0xdd37fec102387ec64ff29260a41459836bf464b5becc65d30731e774cfa9cb27-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618636458,0x9477861457123c55cd34c608068c58af2bff5dc8
3382.912435,0,0,3368.410503,3373.391859028319464323563592698671,0xde1eb2409dfc7b21c45546f5ee1ab4e0745d58600171e8e8eb31c9faa5a86bd9-1,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618624331,0xf06371cfecd87065ec3aaf792252fe02305f0cb2
3373.264028,0,0,3366.603303,3371.40190472092490129104987697627,0xde2a85cc417d1bc47bbdcb33f15fb2250c39b2c2cd46ad1aa426965eca636084-1,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618675232,0x745daa146934b27e3f0b6bff1a6e36b9b90fb131
2000,0,0,1992.910242,1997.247464694157921403963440316145,0xde52cf7bcb11bab1f69c0c9d49404c767d3d16b513a715cbaeaec0789893407c-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618695740,0x56fdb1a3e9ad1630061ac7ee60dd75ba78307036
0,1692.872818,1700,0,1697.008316567946426539908687291912,0xde626fd5ed3b250c20046a24faa102a4342367e82cfc0fb49535d979b38960b9-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618669000,0x5fa9569b0ed6aa01e234468e6a15b77988b950df
